order_id,customer_id,product_card_id,delivery_status,Sum of is_delayed,Sum of order_item_quantity,Sum of order_item_total_amount,Sum of profit_per_order,Sum of sales,Year,Quarter,Month,Day,Year,Quarter,Month,Day
1,20757,19,Delayed,1,5,119.968376,904.4333,1999.99,2015,Qtr 1,January,2,2018,Qtr 4,December,1
2,12968,1014,Delayed,1,4,188.99,11.705796,199.92,2015,Qtr 1,March,30,2015,Qtr 1,January,1
7,1943,365,Delayed,1,3,141.95314,36.059143,179.97,2015,Qtr 2,April,7,2015,Qtr 1,January,1
8,2300,502,Delayed,1,4,105.02231,10.682614,129.99,2015,Qtr 1,March,14,2015,Qtr 1,January,1
12,9938,403,Delayed,1,1,116.86309,22.973017,129.99,2015,Qtr 2,April,8,2015,Qtr 1,January,1
14,3781,365,Early,0,2,100.78,32.162537,119.98,2015,Qtr 1,March,28,2015,Qtr 1,January,1
20,3632,502,Early,0,2,84.09682,36.97857,100,2015,Qtr 2,April,18,2015,Qtr 1,January,1
28,2635,1073,Delayed,1,1,179.97256,16.126038,199.99,2015,Qtr 1,February,14,2015,Qtr 1,January,1
40,8767,502,On-time,0,4,211.16,94.25555,200,2015,Qtr 3,August,4,2015,Qtr 1,January,1
43,10590,1073,Early,0,1,208.5223,85.27071,199.99,2015,Qtr 2,April,8,2015,Qtr 1,January,3
58,7710,778,On-time,0,3,162.21043,-21.043081,199.92,2015,Qtr 2,June,13,2015,Qtr 1,January,16
84,2122,134,Delayed,1,4,90.999435,-56.398212,99.96,2015,Qtr 3,August,2,2015,Qtr 1,February,14
87,207,403,On-time,0,1,107.060684,37.07649,129.99,2015,Qtr 1,March,29,2015,Qtr 1,January,2
90,636,403,Delayed,1,1,131.97234,24.582628,129.99,2015,Qtr 3,July,3,2015,Qtr 1,February,25
91,10230,1073,Delayed,1,1,181.98907,30.98997,199.99,2015,Qtr 2,May,14,2015,Qtr 1,January,29
94,1227,957,Delayed,1,1,299.98834,123.66156,299.98,2015,Qtr 1,February,11,2015,Qtr 1,March,14
97,4379,403,On-time,0,1,109.19,2.1592207,129.99,2015,Qtr 1,February,12,2015,Qtr 1,January,1
101,9612,957,Delayed,1,5,120.89,59.798637,129.99,2015,Qtr 2,June,18,2015,Qtr 1,February,12
106,8015,1073,Delayed,1,1,179.99152,56.193565,199.99,2015,Qtr 2,May,20,2015,Qtr 1,March,12
113,3519,365,Delayed,1,1,57.59,17.993183,59.99,2015,Qtr 3,July,13,2015,Qtr 1,February,4
116,9163,191,Delayed,1,2,193.98058,53.04901,199.96819,2015,Qtr 1,February,24,2015,Qtr 1,January,1
117,4064,957,Delayed,1,1,284.98,138.9804,299.98,2015,Qtr 3,July,28,2015,Qtr 1,February,10
120,9154,957,Early,0,1,319.98,156.33902,299.98,2015,Qtr 3,September,6,2015,Qtr 1,March,25
126,374,1073,Early,0,1,191.9714,-7.179169,199.99,2015,Qtr 3,July,5,2015,Qtr 1,March,5
129,3236,403,Early,0,1,118.77136,56.67394,129.99,2015,Qtr 3,August,3,2015,Qtr 1,March,13
143,566,502,Delayed,1,2,81.97392,13.967909,100,2015,Qtr 3,September,2,2015,Qtr 1,March,2
146,9744,627,Delayed,1,1,33.394863,3.8379407,39.99,2015,Qtr 3,August,19,2015,Qtr 1,February,28
152,4046,957,On-time,0,5,72.133675,23.11694,79.98,2015,Qtr 2,May,8,2015,Qtr 1,February,1
186,9130,1014,Delayed,1,3,112.54839,36.110516,136.95769,2015,Qtr 3,September,21,2015,Qtr 2,April,7
187,2149,191,Delayed,1,3,260.98,99.19663,299.95,2015,Qtr 3,September,6,2015,Qtr 2,April,15
192,7812,502,Delayed,1,2,97.49,34.729866,100,2015,Qtr 1,March,11,2015,Qtr 1,January,27
218,6833,1014,Delayed,1,5,199.98276,-24.989994,249.9,2015,Qtr 1,March,31,2015,Qtr 1,January,3
219,5857,403,Delayed,1,1,98.38,-0.15929547,129.99,2015,Qtr 4,October,30,2015,Qtr 2,April,16
225,7360,365,Delayed,1,5,263.98,-205.95706,299.95,2015,Qtr 2,June,20,2015,Qtr 2,April,13
229,8866,365,Early,0,2,97.49,45.833694,119.97728,2015,Qtr 2,May,6,2015,Qtr 2,April,3
238,2874,743,Delayed,1,3,47.69768,20.875273,50,2015,Qtr 2,May,20,2015,Qtr 1,March,16
248,4311,1073,Early,0,1,191.69456,-176.44212,199.99,2015,Qtr 3,August,16,2015,Qtr 2,May,7
259,11422,502,On-time,0,1,41,-14.971615,50,2015,Qtr 2,May,31,2015,Qtr 2,April,25
260,2554,627,Delayed,1,4,143.97029,71.33454,149.94,2015,Qtr 2,June,9,2015,Qtr 2,May,15
266,947,1014,On-time,0,4,159.99,56.12788,179.97,2015,Qtr 2,June,11,2015,Qtr 1,February,26
268,4637,1014,Early,0,1,41.257095,15.788623,49.98,2015,Qtr 1,January,24,2015,Qtr 2,June,16
270,4065,1014,Early,0,4,179.96837,44.81064,199.92,2015,Qtr 3,July,12,2015,Qtr 2,April,8
273,1198,1073,Delayed,1,1,179.99,51.510303,199.99,2015,Qtr 3,July,31,2015,Qtr 2,April,2
302,3496,365,Delayed,1,4,206.38766,98.91532,239.96,2015,Qtr 2,May,4,2015,Qtr 1,March,24
307,4331,773,On-time,0,2,70.56972,0,79.98,2015,Qtr 3,August,2,2015,Qtr 2,May,20
313,6687,1004,On-time,0,1,383.98,105.62816,399.98,2015,Qtr 3,July,20,2015,Qtr 2,May,16
317,2692,365,Delayed,1,5,246.51009,85.62409,299.95,2015,Qtr 2,June,20,2015,Qtr 1,March,28
339,9182,793,Delayed,1,1,20.059252,4.9392133,24.99,2015,Qtr 3,July,12,2015,Qtr 2,April,29
355,3250,365,Delayed,1,5,290.3216,69.23355,299.95,2015,Qtr 4,October,5,2015,Qtr 2,May,22
367,3362,365,Delayed,1,4,199.99,98.82933,239.96,2015,Qtr 1,March,4,2015,Qtr 1,January,15
368,2487,1014,Early,0,5,218.93448,62.61008,249.9,2015,Qtr 3,July,27,2015,Qtr 1,March,31
369,11697,1014,Early,0,5,219.4882,92.17987,249.9,2015,Qtr 3,August,30,2015,Qtr 2,May,10
373,11006,502,Early,0,3,136.5,48.175457,150,2015,Qtr 1,January,31,2015,Qtr 3,August,5
377,2479,898,Delayed,1,5,52.79,1.2038503,84.4,2015,Qtr 1,January,10,2015,Qtr 1,March,19
383,3115,365,On-time,0,4,191.99,-22.809145,239.96,2015,Qtr 4,October,1,2015,Qtr 3,July,13
398,9424,191,Early,0,2,191.9973,11.529662,199.98076,2015,Qtr 2,April,10,2015,Qtr 1,March,5
402,1332,627,Delayed,1,5,187.43,54.704353,199.95,2015,Qtr 3,August,16,2015,Qtr 2,June,13
407,11069,44,Delayed,1,3,129.99,54.848846,159.96,2015,Qtr 3,August,15,2015,Qtr 2,April,28
408,5764,1014,Early,0,4,197.99,60.50327,199.95,2015,Qtr 4,October,29,2015,Qtr 3,July,21
417,1214,502,Early,0,1,43.986282,13.5193205,50,2015,Qtr 3,September,24,2015,Qtr 2,June,4
418,10562,957,Early,0,1,254.96,25.448765,299.98,2015,Qtr 2,May,18,2015,Qtr 2,April,25
420,8929,191,Delayed,1,5,399.98,130.87228,499.95,2015,Qtr 1,February,9,2015,Qtr 2,May,19
421,10223,365,Early,0,1,56.842403,-19.614456,59.99,2015,Qtr 2,June,22,2015,Qtr 1,March,12
434,3778,1014,Early,0,4,188.99,16.704649,199.92,2015,Qtr 2,June,26,2015,Qtr 2,April,27
435,8721,1004,Delayed,1,1,335.98,78.97603,399.98,2015,Qtr 1,January,14,2015,Qtr 1,March,9
436,4759,502,Delayed,1,2,74.99032,8.300676,100,2015,Qtr 2,May,21,2015,Qtr 2,April,28
441,1684,1014,Early,0,3,165.99,39.289078,150,2015,Qtr 1,January,8,2015,Qtr 1,January,5
446,10744,627,Delayed,1,4,164.48563,48.259243,159.96,2015,Qtr 4,October,7,2015,Qtr 3,July,11
451,4246,1073,Delayed,1,1,149.99,50.587414,199.99,2015,Qtr 4,December,21,2015,Qtr 2,June,26
452,3184,627,Early,0,5,199.17,73.23251,199.95,2015,Qtr 2,June,22,2015,Qtr 2,June,20
455,5097,1014,Delayed,1,4,197.99,-292.328,199.92,2015,Qtr 2,June,10,2015,Qtr 3,July,21
456,2526,1004,Delayed,1,1,377.98,8.037982,399.98,2015,Qtr 1,January,8,2015,Qtr 2,May,30
460,3431,1073,On-time,0,1,152.3448,19.737719,199.99,2015,Qtr 4,December,24,2015,Qtr 2,June,17
462,4894,365,Delayed,1,2,112.47007,5.729873,119.98,2015,Qtr 1,March,2,2015,Qtr 1,January,4
483,11622,1004,Early,0,1,371.97894,115.89933,399.98,2015,Qtr 2,June,1,2015,Qtr 1,February,26
484,3154,957,Delayed,1,1,293.95,136.59227,299.98,2015,Qtr 3,July,23,2015,Qtr 2,June,17
487,3966,957,Delayed,1,1,251.98,89.027824,299.98,2015,Qtr 1,February,6,2015,Qtr 1,January,3
492,9162,810,Delayed,1,4,52.19,8.4507,50,2015,Qtr 1,January,20,2015,Qtr 4,December,10
495,11939,1073,Delayed,1,1,185.98901,55.71616,199.99,2015,Qtr 1,February,11,2015,Qtr 2,June,17
